149.154.164.26:443 S=23 9999ms TTFB=385 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Netherlands Telegram Messenger INC
149.154.164.24:443 S=23 9999ms TTFB=386 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Netherlands Telegram Messenger INC
149.154.164.25:443 S=23 9999ms TTFB=382 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Netherlands Telegram Messenger INC
149.154.165.133:443 S=23 9999ms TTFB=369 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Netherlands Telegram Messenger INC
149.154.165.137:443 S=23 9999ms TTFB=368 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Netherlands Telegram Messenger INC
31.13.89.23:443 S=23 9999ms TTFB=133 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Mexico Facebook, Inc.
31.13.84.41:443 S=23 9999ms TTFB=464 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Austria Facebook, Inc.
31.13.84.41:8443 S=23 9999ms TTFB=463 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= Austria Facebook, Inc.
31.13.93.23:443 S=23 9999ms TTFB=66 PROTO=http/1.1 REL=1.0 CDN=unknown ALPN= United States Facebook, Inc.
185.84.158.127:80 S=20 9999ms TTFB=370 PROTO=http REL=1.0 CDN=unknown ALPN= None None
46.209.127.238:8443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
46.209.127.228:8443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
46.209.127.229:8443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
46.209.127.230:8443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
46.209.127.232:8443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.20:2053 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
213.176.6.86:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
46.209.121.186:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
91.186.193.32:2096 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
91.186.193.92:2083 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
91.186.193.92:2087 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
91.186.193.92:2096 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
91.186.193.32:2083 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
193.111.236.141:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
193.111.236.212:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
31.13.87.18:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
31.13.94.21:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
46.209.123.174:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.80:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
193.111.236.45:8443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
193.111.236.45:2053 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.149:2096 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.63:2096 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.149:2053 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.191:2096 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
193.111.236.233:2096 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
213.176.6.138:2053 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
213.176.6.138:2096 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
185.84.158.191:443 S=14 9999ms TTFB=- PROTO=- REL=- CDN=unknown ALPN= ? ?
